Unnamed: 0,City,No. Stations,Air Quality,Index Value,Prominent Pollutant,year,Date,Season,Temp,Humidity,WindSpeed
173099,Jaipur,3,Satisfactory,83,PM10,2022,2022-02-19,Winter,21.3,41.8,12.9
173170,Delhi,35,Moderate,180,"PM10, PM2.5",2022,2022-02-19,Winter,18.8,64.0,12.3
173204,Mumbai,15,Moderate,132,"PM10, PM2.5",2022,2022-02-20,Winter,26.0,59.6,19.3
173276,Lucknow,5,Satisfactory,88,PM10,2022,2022-02-20,Winter,18.5,69.5,24.1
173278,Delhi,34,Moderate,173,"PM10, PM2.5",2022,2022-02-20,Winter,17.9,69.4,21.6
173280,Jaipur,3,Moderate,125,"PM10, PM2.5",2022,2022-02-20,Winter,20.6,40.5,29.5
173330,Mumbai,16,Moderate,154,"PM10, PM2.5",2022,2022-02-21,Winter,25.7,51.1,20.5
173331,Jaipur,2,Moderate,142,"PM10, PM2.5",2022,2022-02-21,Winter,21.5,35.1,11.2
173334,Delhi,37,Moderate,165,"PM10, PM2.5",2022,2022-02-21,Winter,18.0,57.4,16.6
173433,Lucknow,6,Moderate,105,PM10,2022,2022-02-21,Winter,18.1,69.9,20.5
173494,Mumbai,16,Moderate,158,"PM10, PM2.5",2022,2022-02-22,Winter,25.4,59.6,22.3
173506,Lucknow,6,Moderate,155,"PM10, PM2.5",2022,2022-02-22,Winter,18.8,71.6,16.6
173591,Delhi,37,Poor,252,PM10,2022,2022-02-22,Winter,19.1,58.6,27.7
173597,Jaipur,2,Moderate,114,PM10,2022,2022-02-22,Winter,23.3,41.3,22.3
173643,Jaipur,2,Poor,220,PM10,2022,2022-02-23,Winter,23.8,41.5,16.6
173663,Mumbai,17,Moderate,119,"PM10, PM2.5",2022,2022-02-23,Winter,26.3,58.0,20.5
173670,Lucknow,6,Moderate,134,"PM10, PM2.5",2022,2022-02-23,Winter,20.6,76.1,22.3
173769,Delhi,39,Poor,211,PM2.5,2022,2022-02-23,Winter,19.2,78.2,22.3
173797,Jaipur,1,Poor,248,PM2.5,2022,2022-02-24,Winter,21.9,59.1,22.3
173828,Delhi,32,Very Poor,307,PM2.5,2022,2022-02-24,Winter,19.6,72.0,16.1
173879,Mumbai,14,Moderate,166,"O3, PM10, PM2.5",2022,2022-02-24,Winter,27.1,62.2,18.4
